Symbol,Gap(%),Price,Volume,Relative Volume(Daily Rate),Relative Volume(5 min %),Change From Close(%),Float,Short Interest
GRCL,59.61,9.88,426170.0,1197.1,58737.37,59.61,20580000.0,1010000.0
BACK,30.58,3.16,830920.0,27697.37,46382.61,30.58,1020000.0,76690.0
MIRA,23.85,1.35,11510.0,39.0,58.01,23.85,8840000.0,26760.0
ARBB,23.16,1.17,696790.0,827.54,37763.44,23.16,1440000.0,1020.0
GNS,13.02,0.81,10480.0,1.55,0.0,13.02,29860000.0,1690000.0
SXTC,11.47,2.09,3400.0,8.1,1457.38,11.47,561290.0,17910.0
ALAR,10.19,5.84,3320.0,8.86,52.17,10.19,3160000.0,29830.0
MRT,10.15,0.61,4780.0,3.7,0.0,10.15,8119999.999999999,432270.0
SSYS,9.84,14.4,14790.0,1137.38,2091.67,9.84,67090000.0,1320000.0
MIGI,8.23,2.5,4080.0,0.88,0.05,8.23,14620000.0,117580.0
SFWL,7.29,3.53,73650.0,0.39,14.1,7.29,6670000.0,326570.0
LI,7.26,35.61,352930.0,14.29,164.44,7.26,1030000000.0,31580000.0
CRVS,7.06,1.82,3180.0,4.49,0.0,7.06,33690000.0,1790000.0
VLD,6.94,0.61,12660.0,1.64,104.57,6.94,82910000.0,16940000.0
HUBC,6.52,2.45,27360.0,5.27,114.53,6.52,6550000.0,3640000.0
HOLI,5.80,27.0,3600.0,46.74,0.0,5.8,47520000.0,495940.0
CBAT,5.66,1.12,3410.0,7.45,0.0,5.66,78010000.0,1190000.0
LGCB,5.39,2.15,4330.0,0.74,23.01,5.39,21500000.0,0.0
BLNK,5.29,3.78,38250.0,3.77,5.16,5.29,56820000.0,17740000.0
MSS,5.26,1.6,4950.0,0.42,5.68,5.26,3130000.0,0.0
AISP,4.94,4.46,53190.0,0.62,4.3,4.94,11490000.0,0.0
RDHL,4.76,1.54,44020.0,0.54,3.89,4.76,15290000.0,293570.0
MANU,4.69,20.77,204560.0,1876.68,4097.85,4.69,49980000.0,5690000.0
DGHI,4.42,1.89,2610.0,3.55,0.0,4.42,20020000.0,53860.0
SES,3.78,1.92,5150.0,3.38,306.29,3.78,113260000.0,6500000.0
ARQT,3.72,3.07,38100.0,0.23,6.91,3.72,74840000.0,17510000.0
DWAC,3.71,17.6,2780.0,4.2,40.8,3.71,34350000.0,2240000.0
LLAP,3.67,1.13,16400.0,0.95,0.06,3.67,106300000.0,8940000.0
BHAT,3.64,1.14,97080.0,3733.88,1213.58,3.64,7170000.0,12460.0
NIO,3.56,8.72,773930.0,1.03,32.14,3.56,1600000000.0,140810000.0
MOBX,3.45,5.4,10800.0,0.36,10.67,3.45,0.0,0.0
SID,3.35,4.01,4200.0,13.92,0.0,3.35,600870000.0,2470000.0
LICY,3.34,0.62,42080.0,1.02,108.68,3.34,118380000.0,15530000.0
NTES,3.12,90.37,166410.0,6.18,60.57,3.12,354600000.0,3540000.0
IOVA,3.00,8.59,2610.0,2.03,158.73,3.0,229300000.0,35590000.0
TLRY,2.74,2.25,56560.0,1.79,0.79,2.74,711740000.0,111960000.0
HRYU,2.70,0.73,39360.0,0.1,0.33,2.7,34080000.0,98790.0
INTC,2.58,49.24,80390.0,2.02,101.29,2.58,4219999999.9999995,61610000.0
GPS,2.50,21.7,10870.0,11.34,0.0,2.5,187380000.0,29860000.0
BILI,2.45,11.27,58940.0,0.7,71.69,2.45,261610000.0,15830000.0
PBLA,2.40,0.91,96660.0,0.35,0.59,2.4,4300000.0,64920.0
MCRB,2.36,1.3,4930.0,1.59,163.51,2.36,115430000.0,23370000.0
XPEV,2.32,14.13,75470.0,0.81,10.42,2.32,410070000.0,55290000.0
DNN,2.31,1.77,5040.0,0.99,0.87,2.31,879810000.0,35210000.0
BLUE,2.14,1.43,27020.0,0.14,2.33,2.14,107040000.0,22490000.0
LCID,2.11,4.35,182310.0,1.02,36.35,2.11,858540000.0,155400000.0
CHPT,2.02,2.52,26480.0,0.68,39.8,2.02,364100000.0,67840000.0
PGY,2.01,1.52,15930.0,1.3,13.57,2.01,281650000.0,4960000.0
INHD,2.01,1.52,3740.0,0.22,21.65,2.01,20750000.0,0.0
CRSP,1.99,64.94,4870.0,0.61,10.53,1.99,76180000.0,16370000.000000002
YSG,1.91,0.72,40240.0,134.13,0.0,1.91,559060000.0,1800000.0
EH,1.90,16.1,2700.0,2.44,29.89,1.9,38200000.0,8550000.0
LIAN,1.89,4.58,22480.0,387.6,265.38,1.89,99420000.0,1280000.0
ALT,1.83,9.44,35280.0,0.41,2.33,1.83,51530000.0,6860000.0
CGEN,1.79,1.71,26080.0,0.22,0.0,1.79,77090000.0,1350000.0
DNA,1.71,1.78,26220.0,1.1,31.21,1.71,1420000000.0,235940000.0
